Tool,Issue Type,Severity,ChatGPT,Claude,DeepSeek
Clang-Tidy,performance-avoid-endl,warning,81,1459,310
Clang-Tidy,bugprone-exception-escape,warning,64,128,131
Clang-Tidy,bugprone-narrowing-conversions,warning,10,97,132
Clang-Tidy,performance-enum-size,warning,9,82,8
Clang-Tidy,bugprone-easily-swappable-parameters,warning,4,120,120
Clang-Tidy,clang-diagnostic-error,error,0,15,72
Clang-Tidy,performance-unnecessary-value-param,warning,0,15,18
Clang-Tidy,performance-inefficient-vector-operation,warning,0,14,6
Clang-Tidy,bugprone-branch-clone,warning,0,4,3
Clang-Tidy,clang-analyzer-deadcode.DeadStores,warning,0,3,3
Clang-Tidy,clang-analyzer-security.insecureAPI.rand,warning,0,2,6
Clang-Tidy,bugprone-unused-local-non-trivial-variable,warning,0,1,0
Clang-Tidy,clang-analyzer-security.FloatLoopCounter,warning,0,1,0
Clang-Tidy,performance-unnecessary-copy-initialization,warning,0,1,0
Clang-Tidy,bugprone-switch-missing-default-case,warning,0,0,2
Clang-Tidy,bugprone-empty-catch,warning,0,0,1
Cppcheck,missingIncludeSystem,information,488,1113,1208
Cppcheck,ctuOneDefinitionRuleViolation,error,18,303,225
Cppcheck,normalCheckLevelMaxBranches,information,10,30,26
Cppcheck,uninitvar,error,4,1,1
Cppcheck,useStlAlgorithm,style,3,134,74
Cppcheck,variableScope,style,3,7,4
Cppcheck,uninitStructMember,error,1,2,1
Cppcheck,unusedFunction,style,0,108,88
Cppcheck,returnByReference,performance,0,69,34
Cppcheck,noExplicitConstructor,style,0,52,60
Cppcheck,useInitializationList,performance,0,24,7
Cppcheck,unusedStructMember,style,0,16,8
Cppcheck,constVariablePointer,style,0,9,1
Cppcheck,constVariableReference,style,0,5,1
Cppcheck,unreadVariable,style,0,4,8
Cppcheck,shadowVariable,style,0,2,0
Cppcheck,unusedPrivateFunction,style,0,1,3
Cppcheck,duplicateConditionalAssign,style,0,1,0
Cppcheck,unusedVariable,style,0,1,0
Cppcheck,knownConditionTrueFalse,style,0,0,2
