Tool,Model,Before,After,Reduction,Reduction (%),
Cppcheck,ChatGPT,527,656,-129,-24.48,
Cppcheck,Claude,1882,1743,139,7.39,
Cppcheck,DeepSeek,1751,1933,-182,-10.39,
Cppcheck,Gemini,828,955,-127,-15.34,
Clang-Tidy,ChatGPT,168,14,154,91.67,
Clang-Tidy,Claude,1942,326,1616,83.21,
Clang-Tidy,DeepSeek,812,360,452,55.67,
Clang-Tidy,Gemini,736,264,472,64.13,
Total,ChatGPT,695,670,25,3.6,
Total,Claude,3824,2069,1755,45.89,
Total,DeepSeek,2563,2293,270,10.53,
Total,Gemini,1564,1219,345,22.06,
